time/iterations,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/entropy_loss,train/learning_rate,train/std,train/n_updates,train/clip_range,train/policy_gradient_loss,train/clip_fraction,train/value_loss,train/loss,train/explained_variance,train/approx_kl
29,62.45,59392,-344.17794248999996,34,1733,-1.4270483374595642,0.0005374399391671351,1.0073156356811523,280,0.12384784974010783,-0.0004807722114492208,0.002197265625,938.7799654960633,625.0770874023438,0.8021365106105804,0.0007524657
30,60.71,61440,-321.45485220999996,35,1732,-1.428039474785328,0.0005374399391671351,1.0106871128082275,290,0.12384784974010783,-0.0003386794065590948,0.000439453125,1038.193327331543,917.6676635742188,0.7876788228750229,0.00019016094
31,62.91,63488,-340.98887429,36,1728,-1.430759072303772,0.0005374399391671351,1.0127296447753906,300,0.12384784974010783,-0.0005829133704537525,0.011328125,1001.365108203888,772.2850341796875,0.8510556071996689,0.0011807882
32,66.98,65536,-369.87111747,37,1728,-1.4300669714808465,0.0005374399391671351,1.0089750289916992,310,0.12384784974010783,-0.0013543315828428604,0.022998046875,1073.8790797233582,942.0659790039062,0.8186908662319183,0.0013419476
33,66.38,67584,-394.42080026,39,1728,-1.4333528820425272,0.0005374399391671351,1.0176472663879395,320,0.12384784974010783,-0.0011929937412787695,0.01572265625,1279.4799270629883,533.5294799804688,0.7954703718423843,0.0014246076
34,70.23,69632,-407.48483501999993,40,1727,-1.434757884964347,0.0005374399391671351,1.0120508670806885,330,0.12384784974010783,-0.0011264156193647068,0.022119140625,985.7068154335022,1501.9140625,0.8634581565856934,0.0008743062
35,69.26,71680,-389.23478670000003,41,1725,-1.4275240294635296,0.0005374399391671351,1.0047134160995483,340,0.12384784974010783,-0.0010440715130243916,0.00419921875,949.4282211303711,374.77972412109375,0.8051039427518845,0.0006854066
36,70.19,73728,-394.80297358999997,42,1725,-1.424035668373108,0.0005374399391671351,1.0049031972885132,350,0.12384784974010783,-0.001063707616413012,0.0189453125,774.040878200531,417.17926025390625,0.9032604694366455,0.0018512208
37,68.43,75776,-377.04816291000003,43,1725,-1.419736372306943,0.0005374399391671351,0.9963194727897644,360,0.12384784974010783,-0.0010830033395905047,0.013134765625,1552.192733001709,538.8509521484375,0.8055654913187027,0.0009337532
38,63.35,77824,-341.48418262000007,45,1725,-1.4160589534789323,0.0005374399391671351,0.995861828327179,370,0.12384784974010783,-0.0005903470213524997,0.005224609375,1385.169902896881,469.7503356933594,0.8377719521522522,0.0003798672
39,62.83,79872,-352.2675873699999,46,1724,-1.4136217165738345,0.0005374399391671351,0.9946299195289612,380,0.12384784974010783,-0.0010268431637086906,0.0224609375,908.9583148956299,637.3804931640625,0.859944686293602,0.00064379757
40,66.53,81920,-386.89781346999996,47,1723,-1.4137017399072647,0.0005374399391671351,0.995870053768158,390,0.12384784974010783,-0.0001888855309516657,0.01015625,1040.678864479065,808.9535522460938,0.8840386718511581,0.0014890756
41,63.13,83968,-352.20617875000005,48,1723,-1.4128179412335158,0.0005374399391671351,0.9905091524124146,400,0.12384784974010783,-0.0012268798105651512,0.02548828125,1123.4304230690002,812.4874877929688,0.8626486957073212,0.0014301658
42,67.51,86016,-387.49101428,49,1723,-1.402726222202182,0.0005374399391671351,0.9766470789909363,410,0.12384784974010783,-0.0013090337233734317,0.0158203125,1312.4084944725037,517.195556640625,0.8615038245916367,0.0011856803
43,65.05,88064,-367.48496971000003,51,1723,-1.3885870404541492,0.0005374399391671351,0.9687694907188416,420,0.12384784974010783,-0.0007010068744421005,0.023095703125,1073.416362953186,621.9415893554688,0.8902985975146294,0.0003485241
44,64.26,90112,-363.17160375,52,1723,-1.3907624796032905,0.0005374399391671351,0.9767055511474609,430,0.12384784974010783,-0.0014388533680175896,0.0294921875,1099.4470201492309,371.86114501953125,0.8882575258612633,0.00047783565
45,59.84,92160,-331.22720603999994,53,1723,-1.391416350007057,0.0005374399391671351,0.9659984707832336,440,0.12384784974010783,-0.0019106835388811305,0.01123046875,1248.954676914215,410.99212646484375,0.8772995918989182,0.0011677964
46,62.53,94208,-362.83762112,54,1723,-1.3795741386711597,0.0005374399391671351,0.9546471834182739,450,0.12384784974010783,-0.00037882357282796874,0.009912109375,1044.0586135864257,318.6605529785156,0.8780000656843185,0.0005531163
47,62.88,96256,-360.12083041,55,1723,-1.3854180186986924,0.0005374399391671351,0.974347710609436,460,0.12384784974010783,-0.00233110731060151,0.031494140625,1051.4646978855133,559.4909057617188,0.8853676617145538,0.0018716959
48,64.96,98304,-331.98996394999995,57,1723,-1.3879862491041421,0.0005374399391671351,0.9646111726760864,470,0.12384784974010783,-0.001541255854681367,0.0177734375,1407.6048086166381,677.5432739257812,0.8734910488128662,0.0008501662
49,64.22,100352,-274.96572996000003,58,1723,-1.3828822229057551,0.0005374399391671351,0.9667262434959412,480,0.12384784974010783,-0.0014799187527387403,0.0369140625,1632.407708644867,717.6751098632812,0.8643152862787247,0.0013238615
50,66.35,102400,-289.4813042899999,59,1724,-1.3835250604897738,0.0005374399391671351,0.9607085585594177,490,0.12384784974010783,-0.0007902850869868416,0.021044921875,1359.104486656189,1359.9906005859375,0.8692910075187683,0.00095643284
51,63.56,104448,-290.19184569000004,60,1725,-1.3633607991039753,0.0005374399391671351,0.9345277547836304,500,0.12384784974010783,-0.0022242476683459246,0.036767578125,1108.1869945526123,843.7611083984375,0.9066915139555931,0.0026665847
52,60.35,106496,-287.89790871,61,1726,-1.3462560325860977,0.0005374399391671351,0.925403892993927,510,0.12384784974010783,-0.00334420440485701,0.048291015625,1043.7988708496093,303.33074951171875,0.9239300265908241,0.002045618
53,49.42,108544,-205.18910196999997,62,1726,-1.3366938654333353,0.0005374399391671351,0.9176808595657349,520,0.12384784974010783,-0.0006641961153945886,0.01728515625,1789.9734334945679,1145.70947265625,0.8574104011058807,0.0011470523
54,46.53,110592,-172.45678639000002,64,1727,-1.3284131046384573,0.0005374399391671351,0.913382887840271,530,0.12384784974010783,-0.00026902266836259514,0.026123046875,1448.9688764572143,1256.5244140625,0.8805905655026436,0.0014251159
55,54.18,112640,-239.41366922999998,65,1727,-1.3206812173128128,0.0005374399391671351,0.9019582271575928,540,0.12384784974010783,-0.001820723185664974,0.02177734375,1694.4589532852174,604.5869140625,0.8629444241523743,0.0014288719
56,55.92,114688,-268.17650072,66,1727,-1.30604457706213,0.0005374399391671351,0.8858192563056946,550,0.12384784974010783,-0.0026816032361239193,0.035595703125,1357.4854482650758,1121.734619140625,0.8783284649252892,0.001969596
57,55.54,116736,-265.01724855,67,1727,-1.2910433430224657,0.0005374399391671351,0.8752481937408447,560,0.12384784974010783,-0.001361958865163615,0.034375,1207.8170243263244,713.8753662109375,0.8573831766843796,0.0017825454
58,49.82,118784,-206.67685999000003,68,1727,-1.2777127586305141,0.0005374399391671351,0.8663496971130371,570,0.12384784974010783,-0.0010404384483990725,0.05146484375,1006.7059104919433,377.8155212402344,0.8814063221216202,0.0014368931
59,52.29,120832,-218.40745264999998,69,1727,-1.2586059924215078,0.0005374399391671351,0.8411665558815002,580,0.12384784974010783,-0.0009473307713051326,0.0404296875,1296.9895553588867,1451.10986328125,0.8823043704032898,0.0021963883
